"id";"title";"year";"synopsis";"director";"producer";"writer";"release_date_id";"box_office";"runtime";"production_co";"sound_mix";"aspect_ratio";"collection";"crew";"rating_id";"genre_id";"language_id"
"34";"A Star Is Born";"2018";"Seasoned musician Jackson Maine discovers -- and falls in love with -- struggling artist Ally. She has just about given up on her dream to make it big as a singer until Jackson coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jackson fights an ongoing battle with his own internal demons.";"Taika Waititi";"Carthew Neal, Leanne Saunders, Taika Waititi, Matt Noonan";"Taika Waititi";"30";"700.20";"134";"Horizon Films";"Surround";"";"";"Peter O'Toole, Alec Guinness, Anthony Quinn, Omar Sharif, Jack Hawkins, Jose Ferrer, Claude Rains, Anthony Quayle, Arthur Kennedy, Donald Wolfit, David Lean, Robert Bolt, Michael Wilson, Robert A. Harris, Sam Spiegel, Maurice Jarre, F.A. Young, Anne V. Coates, Maude Spector, John Box";"3";"11";"1"
"35";"A Streetcar Named Desire";"1951";"Based on the play by Tennessee Williams, this renowned drama follows troubled former schoolteacher Blanche DuBois (Vivien Leigh) as she leaves small-town Mississippi and moves in with her sister, Stella Kowalski (Kim Hunter), and her husband, Stanley (Marlon Brando), in New Orleans. Blanche's flirtatious Southern-belle presence causes problems for Stella and Stanley, who already have a volatile relationship, leading to even greater conflict in the Kowalski household.";"Joseph Sargent";"Gabriel Katzka, Edgar J. Scherick";"Peter Stone";"31";"858.40";"181";"Tom Cruise, Paramount Pictures, Skydance Productions, Bad Robot";"Dolby Atmos";"";"";"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson, Ving Rhames, Sean Harris, Alec Baldwin, Simon McBurney, Zhang Jingchu, Christopher McQuarrie, Tom Cruise, J.J. Abrams, Bryan Burk, David Ellison, Dana Goldberg, Don Granger, Christopher McQuarrie, Jake Myers, Joe Kraemer";"1";"10";"1"
"36";"A Summer's Tale";"1996";"Before beginning a new job, Gaspard (Melvil Poupaud) goes to a beach town to relax for a few weeks. He waits for Lena (Aurelia Nolin), a girl he has been casually dating for some time. When she does not arrive, he strikes up a friendship with waitress Margot (Amanda Langlet). Through her, Gaspard also meets Solene (GwenaГ«lle Simon), a free spirit open to a physical relationship if he agrees to be faithful. As Gaspard spends time with each, he finds his feelings even further conflicted.";"Scott Derrickson";"Kevin Feige";"Jon Spaihts, Scott Derrickson, C. Robert Cargill";"32";"220.10";"147";"Zoetrope Studios";"Surround";"";"";"Marlon Brando, Martin Sheen, Robert Duvall, Frederic Forrest, Albert Hall, Sam Bottoms, Larry Fishburne, Dennis Hopper, G.D. Spradlin, Harrison Ford, Francis Ford Coppola, Joseph Conrad, John Milius, Francis Ford Coppola, Michael Herr, Kim Aubry, Francis Ford Coppola, Carmine Coppola, Francis Ford Coppola, Vittorio Storaro";"2";"11";"1"
"37";"About a Boy";"2002";"A comedy-drama starring Hugh Grant as Will, a rich, child-free and irresponsible Londoner in his thirties who, in search of available women, invents an imaginary son and starts attending single parent meetings. As a result of one of his liaisons, he meets Marcus, an odd 12-year-old boy with problems at school. Gradually, Will and Marcus become friends, and as Will teaches Marcus how to be a cool kid, Marcus helps Will to finally grow up.";"James Cameron";"Gale Anne Hurd";"Unknown";"19";"153.60";"120";"Kingsgate Films, Voltage Pictures, First Light Production";"";"";"";"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce, Ralph Fiennes, David Morse, Evangeline Lilly, Christian Camargo, Christopher Sayegh, Suhail Aldabbach, Kathryn Bigelow, Mark Boal, Kathryn Bigelow, Mark Boal, Nicolas Chartier, Marco Beltrami, Buck Sanders, Barry Ackroyd, Chris Innis";"2";"10";"1"
"38";"Afghan Star";"2009";"Director Havana Marking dives into the booming, but still young and growing, world of pop culture in Afghanistan. Newly liberated after more than 30 years of stifling Taliban rule, the country is taken with a fervor for expression. This documentary follows four contestants, including two women, as they audition, sing and compete in a countrywide ""American Idol""-type competition called ""Pop Idol."" Marking uncovers a wonderfully vibrant community, which is also surprisingly accepting.";"Irvin Kershner";"Gary Kurtz";"Lawrence Kasdan, Leigh Brackett";"33";"190.20";"117";"LEGO System A/S, Lin Pictures, Vertigo";"";"";"";"Chris Pratt, Will Ferrell, Morgan Freeman, Elizabeth Banks, Will Arnett, Nick Offerman, Alison Brie, Charlie Day, Liam Neeson, Keith Ferguson, Phil Lord, Christopher Miller, Phil Lord, Christopher Miller, Dan Lin, Roy Lee, Jill Wilfert, Matthew Ashton, Kathleen Fleming, Allison Abbate";"3";"13";"1"
"39";"After the Storm";"2016";"A dissolute private detective (Hiroshi Abe) attempts to reconnect with his distrustful family following the death of his father.";"Terrence Malick";"Unknown";"Terrence Malick";"34";"412.80";"141";"Bad Robot";"";"";"Star Trek";"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana, Bruce Greenwood, Karl Urban, Zoe Saldana, Simon Pegg, John Cho, Anton Yelchin, J.J. Abrams, Roberto Orci, Alex Kurtzman, J.J. Abrams, Damon Lindelof, Bryan Burk, Jeffrey Chernov, Roberto Orci, Alex Kurtzman, Michael Giacchino";"1";"8";"1"
"40";"Aguirre: The Wrath of God";"1972";"Don Lope de Aguirre (Klaus Kinski), a ruthless Spanish conquistador, vies for power while part of an expedition in Peru to find El Dorado, the mythical seven cities of gold. Accompanied by his daughter, Flores (Cecilia Rivera), Aguirre faces off against his superior, Don Pedro de Ursua (Ruy Guerra), and grows increasingly volatile after seizing control of the group. As Aguirre presses deeper into the Amazonian jungle, he descends further into madness.";"Joseph H. Lewis";"Franklin King, Maurice King";"Unknown";"35";"188.00";"107";"Walt Disney Animation Studios";"Dolby Atmos, Dolby Digital, SDDS, Datasat";"Scope (2.35:1)";"";"Dwayne Johnson, Auli'i Cravalho, Rachel House, Temuera Morrison, Jemaine Clement, Nicole Scherzinger, Alan Tudyk, Oscar Kightley, John Musker, Ron Clements, Don Hall, Jared Bush, Osnat Shurer, John Lasseter";"3";"17";"1"
"41";"Ai Weiwei: Never Sorry";"2012";"Alison Klayman documents the life and work of Chinese artist and activist Ai Weiwei. She showcases his artistic process as he prepares for a museum exhibition, his relationships with family members and his clashes with the government.";"Chris McKay";"Dan Lin, Phil Lord, Christopher Miller, Roy Lee";"Seth Grahame-Smith, Chris McKenna, Erik Sommers, Jared Stern, John Whittington";"36";"210.50";"109";"Marvel Studios";"DTS, Dolby Digital, Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Robert Downey Jr., Chris Hemsworth, Josh Brolin, Chadwick Boseman, Mark Ruffalo, Zoe Saldana, Chris Evans, Chris Pratt, Benedict Cumberbatch, Dave Bautista, Anthony Russo, Joe Russo, Christopher Markus, Stephen McFeely, Kevin Feige, Louis D'Esposito, Victoria Alonso, Michael Grillo, Trinh Tran, Jon Favreau";"1";"8";"1"
"42";"Airplane!";"1980";"This spoof comedy takes shots at the slew of disaster movies that were released in the 70s. When the passengers and crew of a jet are incapacitated due to food poisoning, a rogue pilot with a drinking problem must cooperate with his ex-girlfriend turned stewardess to bring the plane to a safe landing.";"Rian Johnson";"Ram Bergman, James D. Stern";"Rian Johnson";"37";"315.00";"130";"Marvel Studios";"DTS, Dolby Atmos";"Scope (2.35:1)";"Marvel Cinematic Universe";"Paul Rudd, Evangeline Lilly, Michael Douglas, Michael PeГ±a, Walton Goggins, Bobby Cannavale, Laurence Fishburne, Michelle Pfeiffer, Judy Greer, Tip ""T.I."" Harris, Peyton Reed, Chris McKenna, Erik Sommers, Paul Rudd, Andrew Barrer, Kevin Feige, Stephen Broussard, Victoria Alonso, Louis D'Esposito";"1";"12";"1"
"43";"Aladdin";"1992";"When street rat Aladdin frees a genie from a lamp, he finds his wishes granted. However, he soon finds that the evil has other plans for the lamp -- and for Princess Jasmine. But can Aladdin save Princess Jasmine and his love for her after she sees that he isn't quite what he appears to be?";"Peter Lord, Nick Park";"Unknown";"Karey Kirkpatrick";"38";"226.30";"137";"Lucasfilm Ltd.";"Surround";"";"Star Wars Saga";"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, James Earl Jones, George Lucas, George Lucas, Gary Kurtz, George Lucas, Gilbert Taylor, Richard Chew, Paul Hirsch, Marcia Lucas, Dianne Crittenden";"3";"10";"1"
"44";"Alien";"1979";"In deep space, the crew of the commercial starship Nostromo is awakened from their cryo-sleep capsules halfway through their journey home to investigate a distress call from an alien vessel. The terror begins when the crew encounters a nest of eggs inside the alien ship. An organism from inside an egg leaps out and attaches itself to one of the crew, causing him to fall into a coma.";"James Gunn";"Kevin Feige";"James Gunn";"39";"620.20";"152";"American Empirical Pictures, Studio Babelsberg";"Dolby Digital";"Scope (2.35:1)";"";"Bryan Cranston, Edward Norton, Scarlett Johansson, Bill Murray, Liev Schreiber, Jeff Goldblum, Bob Balaban, Koyu Rankin, Greta Gerwig, Tilda Swinton, Wes Anderson, Wes Anderson, Wes Anderson, Scott Rudin, Steven Rales, Jeremy Dawson, Christopher Fisser, Henning Molfenter, Charlie Woebcken, Tristan Oliver";"1";"12";"1"
"45";"Aliens";"1986";"After floating in space for 57 years, Lt. Ripley's (Sigourney Weaver) shuttle is found by a deep space salvage team. Upon arriving at LV-426, the marines find only one survivor, a nine year old girl named Newt (Carrie Henn). But even these battle-hardened marines with all the latest weaponry are no match for the hundreds of aliens that have invaded the colony.";"Matt Reeves";"Peter Chernin, Dylan Clark, Rick Jaffa, Amanda Silver";"Rick Jaffa, Amanda Silver, Mark Bomback";"4";"700.20";"134";"Walter Wanger Productions, Inc.";"";"Flat (1.37:1)";"";"John Wayne, Claire Trevor, Andy Devine, John Carradine, Louise Platt, George Bancroft, Donald Meek, Berton Churchill, Tim Holt, Ernest Haycox, Dudley Nichols, Ben Hecht, Walter Wanger, Bert Glennon, Otho Lovering, Dorothy Spencer";"6";"16";"1"
"46";"All About Eve";"1950";"Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway mega-star Margo Channing, telling a melancholy life story to Margo and her friends. Margo takes Eve under her wing, and it appears that Eve is a conniver that uses Margo.";"Denis Villeneuve";"Basil Iwanyk, Edward L. McDonnell, Molly Smith, Thad Luckinbill, Trent Luckinbill";"Taylor Sheridan";"40";"858.40";"181";"United Artists, Danjaq Productions";"Mono";"Flat (1.85:1)";"James Bond 007";"Sean Connery, Gert Frobe, Honor Blackman, Shirley Eaton, Bernard Lee, Lois Maxwell, Harold Sakata, Tania Mallet, Guy Hamilton, Ian Fleming, Richard Maibaum, Paul Dehn, Albert R. Broccoli, Harry Saltzman, Ted Moore, Peter R. Hunt, Ken Adam";"3";"10";"1"
"47";"All About My Mother";"1999";"A Greek saying states that only women who have washed their eyes with tears can see clearly. This saying does not hold true for Manuela. The night a car ran over her son Esteban, Manuela cried until her eyes ran completely dry. Far from seeing clearly, the present and the future become mixed up in darkness. She begins looking for his father who has become a transvestite.";"Akira Kurosawa";"Masato Hara, Serge Silberman";"Masato Ide, Akira Kurosawa, Hideo Oguni";"41";"220.10";"147";"Marvel Studios, Moving Picture Company, Marvel Enterprises";"Dolby Atmos, Dolby Digital";"";"Marvel Cinematic Universe";"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel, Bradley Cooper, Lee Pace, Michael Rooker, Karen Gillan, Djimon Hounsou, Benicio Del Toro, James Gunn, James Gunn, Nicole Perlman, Kevin Feige, Louis D'Esposito, Victoria Alonso, Jeremy Latcham, Alan Fine, Stan Lee, Nikolas Korda";"1";"12";"1"
"48";"All In: The Fight for Democracy";"2020";"Filmmakers Liz Garbus and Lisa Cortes examine the history of voter suppression and the activists who fight for the rights of U.S. citizens.";"Sergio Leone";"Harry Colombo, George Papi";"Unknown";"42";"153.60";"120";"Laika, Focus Features";"Dolby Digital";"Scope (2.35:1)";"";"Charlize Theron, Art Parkinson, Ralph Fiennes, George Takei, Cary-Hiroyuki Tagawa, Brenda Vaccaro, Rooney Mara, Matthew McConaughey, Travis Knight, Marc Haimes, Chris Butler, Arianne Sutner, Travis Knight, Frank Passingham, Christopher Murrie";"3";"15";"1"
"49";"All Is Lost";"2013";"During a solo voyage in the Indian Ocean, a veteran mariner (Robert Redford) awakes to find his vessel taking on water after a collision with a stray shipping container. With his radio and navigation equipment disabled, he sails unknowingly into a violent storm and barely escapes with his life. With any luck, the ocean currents may carry him into a shipping lane -- but, with supplies dwindling and the sharks circling, the sailor is forced to face his own mortality.";"Kenneth Branagh";"Bruce Sharman";"Unknown";"43";"190.20";"117";"Pixar Animation Studios";"SDDS, Dolby Digital, DTS";"";"Pixar";"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, John Ratzenberger, Kathy Najimy, Sigourney Weaver, Bob Bergen, Andrew Stanton, Andrew Stanton, Jim Reardon, Jim Morris, Thomas Newman, Thomas Newman, John Lasseter, Ralph Eggleston, Jeremy Lasky";"4";"9";"1"
"50";"All Quiet on the Western Front";"1930";"The film follows a group of German schoolboys, talked into enlisting at the beginning of World War I by their jingoistic teacher. The story is told entirely through the experiences of the young German recruits and highlights the tragedy of war through the eyes of individuals.";"Anthony Russo, Joe Russo";"Kevin Feige";"Christopher Markus, Stephen McFeely";"43";"412.80";"141";"Marvel Studios";"";"";"Marvel Cinematic Universe";"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Samuel L. Jackson, Jeremy Renner, Tom Hiddleston, Stellan Skarsgard, Clark Gregg, Joss Whedon, Joss Whedon, Kevin Feige, Alan Fine, Jon Favreau, Louis D'Esposito, Patricia Whitcher, Victoria Alonso, Jeremy Latcham, Seamus McGarvey";"1";"8";"1"
"51";"Amadeus";"1984";"Wolfgang Amadeus Mozart (Tom Hulce) is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri (F. Murray Abraham). Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.";"John Carpenter";"J.S. Kaplan";"Unknown";"44";"188.00";"107";"Marvel Enterprises, Paramount";"Dolby SRD, DTS, SDDS";"Scope (2.35:1)";"Marvel Cinematic Universe";"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges, Shaun Toub, Faran Tahir, Leslie Bibb, Sayed Badreya, Clark Gregg, Bill Smitrovich, Jon Favreau, Mark Fergus, Hawk Ostby, Art Marcum, Matt Holloway, Avi Arad, Kevin Feige, Louis D'Esposito, Peter Billingsley, Jon Favreau";"1";"9";"1"
"52";"Amazing Grace";"2018";"Singer Aretha Franklin performs gospel songs at the New Temple Missionary Baptist Church in Los Angeles in 1972.";"John Ford";"C.V. Whitney";"Alan LeMay, Frank S. Nugent";"45";"210.50";"109";"Pacific Western";"";"";"Terminator";"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield, Lance Henriksen, Rick Rossovich, Bess Motta, Earl Boen, Dick Miller, Shawn Schepps, James Cameron, John Daly, Derek Gibson, Gale Anne Hurd, Joe Dolce, Tane McClure, Adam Greenberg, Mark Goldblatt, Stanzi Stokes";"2";"14";"1"
"53";"American Movie";"1999";"In this cult-favorite documentary, Mark Borchardt, an aspiring filmmaker from a working-class Wisconsin background, is set on finishing his low-budget horror movie, despite a barrage of difficulties. Plagued by lack of cash, unreliable help and numerous personal problems, Mark wants to complete the film to raise funds for a more ambitious drama. With the assistance of his bumbling but loyal friend Mike Schank, Mark struggles to move forward, making for plenty of bittersweet moments.";"Werner Herzog";"Werner Herzog";"Werner Herzog";"46";"315.00";"130";"Horizon Films, Romulus Productions";"";"";"";"Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull, Theodore Bikel, Walter Gotell, John Huston, C.S. Forester, James Agee, John Huston, Jack Cardiff, Ralph Kemplen, Wilfred Shingleton";"3";"8";"1"
